,originalTitle,rating,startYear,runtimeMinutes,numVotes,totalImages,totalCredits,titleType,canHaveEpisodes,numRegions,countryOfOrigin,genres,ratingNum,numGenres,criticReviewsRatio,awardsAndNominations,hasVideos,moreCountriesOfOrigin
42,In Character With...,"(2, 3]",2009,3.4657359027997265,2.8903717578961645,0.0,4.418840607796598,tvSeries,True,0.6931471805599453,['US'],['Talk-Show'],3,1,0.0,False,False,False
43,The Dossier Case,"(9, 10]",2012,3.713572066704308,2.302585092994046,0.6931471805599453,4.672828834461906,short,False,0.6931471805599453,['AU'],"['Adventure', 'Comedy', 'Short']",10,3,0.0,True,False,False
44,The Mysterious Rain Shelter! Nyasper Is Watching!!,"(7, 8]",2014,3.091042453358316,4.6913478822291435,1.0986122886681098,4.836281906951478,tvEpisode,False,0.6931471805599453,['JP'],"['Action', 'Adventure', 'Animation']",8,3,0.0,False,False,False
45,Hoodlum Priest and the Gold Mint,"(5, 6]",1968,4.394449154672439,3.2188758248682006,0.6931471805599453,2.302585092994046,movie,False,1.0986122886681098,['JP'],"['Action', 'Crime']",6,2,1.0,False,False,False
46,Episode #2.46,"(8, 9]",1976,3.713572066704308,2.6390573296152584,0.0,4.007333185232471,tvEpisode,False,2.0794415416798357,['US'],"['Comedy', 'Romance']",9,2,0.0,False,False,False
47,The Switchman,"(7, 8]",1996,3.713572066704308,5.877735781779639,2.0794415416798357,4.290459441148391,tvEpisode,False,0.6931471805599453,['US'],"['Action', 'Adventure', 'Crime']",8,3,0.0,False,False,False
48,Ad Fundum,"(6, 7]",1993,4.59511985013459,7.274479558773871,1.3862943611198906,4.477336814478207,movie,False,1.3862943611198906,['BE'],['Drama'],7,1,0.0,True,False,False
49,Achtunddreißig fünf,"(8, 9]",1993,3.367295829986474,3.258096538021482,0.0,3.828641396489095,tvEpisode,False,0.6931471805599453,['DE'],"['Comedy', 'Family']",9,2,0.0,False,False,False
50,Hush,"(6, 7]",2007,4.465908118654584,1.9459101490553132,0.0,3.091042453358316,tvMovie,False,0.6931471805599453,['AU'],['Comedy'],7,1,0.0,False,False,False
51,The Colour of Money,"(6, 7]",2009,3.4657359027997265,2.4849066497880004,0.6931471805599453,3.044522437723423,tvSeries,True,0.6931471805599453,['GB'],['Game-Show'],7,1,0.0,False,False,False
52,Slave,"(2, 3]",2012,4.709530201312334,3.6375861597263857,0.6931471805599453,4.382026634673881,movie,False,1.0986122886681098,"['CY', 'DE']","['Crime', 'Thriller']",3,2,0.0,False,False,True
53,And Away We Go!,"(7, 8]",1989,3.8918202981106265,4.51085950651685,0.6931471805599453,4.23410650459726,tvEpisode,False,0.6931471805599453,['US'],"['Drama', 'Romance']",8,2,0.0,False,False,False
54,Tricky Business,"(5, 6]",1995,4.343805421853684,4.59511985013459,0.0,2.1972245773362196,video,False,0.6931471805599453,['US'],['Adult'],6,1,0.0,False,False,False
55,Mea Culpa,"(7, 8]",2018,3.9318256327243257,4.3694478524670215,0.0,5.0689042022202315,tvEpisode,False,0.6931471805599453,"['IT', 'FR']","['Drama', 'Mystery']",8,2,1.0,False,False,True
56,Ice Bound,"(6, 7]",2003,4.499809670330265,6.418364935936212,4.276666119016055,4.852030263919617,tvMovie,False,2.302585092994046,"['CA', 'US']",['Drama'],7,1,0.1875,True,False,True
57,No More Mr. Nice Guy,"(7, 8]",2018,3.7612001156935624,5.424950017481403,1.6094379124341003,5.231108616854587,tvEpisode,False,0.6931471805599453,['US'],"['Drama', 'Sci-Fi', 'Thriller']",8,3,1.0,False,True,False
58,"Six Man, Texas","(8, 9]",2008,4.276666119016055,2.8903717578961645,0.6931471805599453,3.7612001156935624,movie,False,0.6931471805599453,['US'],['Documentary'],9,1,0.16666666666666666,True,False,False
59,Hanadama: Gen'ei,"(6, 7]",2016,4.430816798843313,3.58351893845611,0.6931471805599453,3.6635616461296463,movie,False,1.6094379124341003,['JP'],"['Drama', 'Thriller']",7,2,0.5,False,False,False
60,State's Attorney,"(6, 7]",1932,4.382026634673881,6.016157159698354,3.4339872044851463,4.204692619390966,movie,False,2.3978952727983707,['US'],['Drama'],7,1,0.21052631578947367,False,False,False
61,Karo and Piyobupt: Ame no Hi,"(5, 6]",1993,1.6094379124341003,2.8903717578961645,0.6931471805599453,1.3862943611198906,short,False,1.791759469228055,['JP'],"['Animation', 'Short']",6,2,0.0,False,False,False
